round,group,n1,n2,n3,n4,n5,n6
1,4,1,6,2,1,3,2
2,2,4,5,0,5,5,8
3,4,5,4,4,9,5,5
4,4,1,2,4,4,2,0
5,4,7,5,4,6,5,5
6,5,1,9,3,2,0,2
7,2,5,9,7,0,9,3
8,4,2,3,4,0,5,8
9,3,1,3,3,5,1,0
10,2,7,7,0,1,7,3
11,1,8,6,7,6,5,4
12,5,0,7,6,6,7,6
13,1,6,6,9,2,4,5
14,3,4,3,2,4,9,6
15,4,4,7,7,2,3,8
16,4,6,6,4,0,5,6
17,3,3,1,7,2,2,7
18,1,5,6,2,2,2,2
19,5,8,5,9,2,1,9
20,1,8,1,9,6,0,5
21,1,2,3,9,9,3,7
22,1,9,1,3,6,2,2
23,4,1,5,8,0,7,1
24,2,0,0,2,9,8,9
25,3,4,6,3,6,3,7
26,3,1,9,2,8,5,6
27,5,4,1,2,0,0,8
28,5,0,8,0,8,3,9
29,4,3,5,5,1,9,2
30,3,4,8,7,2,1,5
31,1,7,7,1,5,9,8
32,1,5,7,9,1,7,6
33,4,5,9,6,2,1,9
34,4,9,7,7,6,8,6
35,1,5,4,2,4,5,4
36,4,7,3,5,7,5,7
37,3,4,5,3,8,7,7
38,3,3,0,7,8,3,6
39,1,1,9,9,1,3,7
40,2,6,3,1,0,8,6
41,1,7,4,2,7,1,4
42,4,9,7,4,2,3,1
43,4,5,8,9,8,3,9
44,3,6,6,8,8,1,8
45,2,3,1,8,7,5,4
46,4,0,1,0,9,6,3
47,4,9,4,1,3,2,7
48,1,7,7,9,3,6,3
49,4,3,0,5,2,4,8
50,3,5,9,2,1,1,1
51,2,5,1,0,0,1,2
52,2,5,9,7,2,2,7
53,5,6,4,9,6,3,8
54,5,6,2,7,0,5,4
55,1,4,7,7,8,7,9
56,1,9,9,3,1,7,4
57,2,2,7,2,2,8,6
58,5,9,3,9,3,2,7
59,2,1,5,9,0,5,6
60,5,2,1,6,5,1,0
61,3,5,7,5,8,6,2
62,4,0,1,4,0,7,3
63,4,3,3,5,2,2,6
64,5,6,7,6,0,0,3
65,4,7,3,2,3,7,5
66,4,9,9,0,8,3,4
67,3,8,0,7,5,3,1
68,5,1,9,1,0,7,5
69,4,7,7,5,5,3,0
70,1,2,4,8,6,7,2
71,1,1,5,9,4,8,6
72,2,1,1,4,6,8,7
73,1,5,0,1,0,2,6
74,2,2,5,6,7,8,9
75,3,6,5,8,3,4,0
76,1,8,9,0,9,6,6
77,5,4,3,6,3,0,5
78,2,5,1,5,8,8,4
79,5,4,0,8,3,7,9
80,1,6,4,1,3,5,8
81,1,9,7,1,5,1,1
82,4,9,3,5,0,5,3
83,3,1,3,6,1,2,8
84,4,5,8,0,1,4,8
85,5,3,3,8,4,0,7
86,5,9,5,0,3,2,0
87,4,7,4,0,9,4,2
88,2,3,2,9,6,9,5
89,4,5,8,5,4,4,9
90,5,2,3,5,8,5,8
91,3,5,8,6,0,5,4
92,4,4,8,7,3,8,1
93,4,1,8,0,2,4,9
94,1,8,0,7,1,2,1
95,5,8,4,1,3,3,1
96,2,3,3,0,4,8,1
97,1,7,8,3,6,8,8
98,4,7,0,7,4,3,7
99,3,2,0,2,9,9,7
100,4,4,1,9,3,9,9
101,4,0,6,8,5,6,1
102,3,0,3,0,5,6,9
103,4,7,8,6,2,7,6
104,2,6,8,9,9,2,2
105,1,1,8,0,5,0,6
106,5,3,0,7,6,9,5
107,3,1,9,2,7,5,0
108,3,6,0,5,1,9,5
109,3,1,6,4,1,1,5
110,5,5,4,2,9,8,0
111,1,3,9,3,5,8,8
112,3,8,0,2,0,0,7
113,3,2,4,8,8,5,5
114,2,6,9,9,2,8,6
115,2,7,4,9,0,6,3
116,2,6,4,1,7,7,0
117,4,2,6,9,1,1,7
118,1,9,2,9,9,7,7
119,4,0,8,8,2,5,7
120,2,2,1,8,5,5,6
121,5,4,4,4,5,2,0
122,1,0,1,6,8,4,1
123,3,9,3,8,4,2,3
124,5,3,1,1,2,4,4
125,5,8,4,5,3,9,0
126,5,5,5,9,8,3,0
127,3,9,0,5,6,5,8
128,3,9,2,3,8,6,4
129,1,6,1,9,0,0,3
130,3,7,3,7,7,4,7
131,5,8,5,2,2,6,5
132,1,3,3,8,8,2,2
133,1,1,0,7,5,2,3
134,1,0,4,7,0,2,2
135,2,4,0,0,8,7,6
136,5,5,8,7,4,1,1
137,1,8,7,3,7,8,4
138,1,3,9,3,0,6,6
139,1,2,0,1,6,8,8
140,4,4,6,9,1,8,5
141,4,8,9,5,3,5,2
142,2,8,5,2,9,6,0
143,5,4,5,9,9,7,9
144,5,8,4,9,6,8,1
145,2,2,2,1,1,1,1
146,1,6,4,3,5,7,0
147,4,8,3,8,3,8,0
148,1,8,2,6,9,3,0
149,5,3,7,8,2,9,6
150,3,3,6,5,3,4,3
151,4,2,5,6,5,0,2
152,3,9,0,5,5,3,1
153,1,9,7,7,0,3,8
154,3,8,2,6,3,9,3
155,4,7,3,9,5,8,6
156,1,0,7,1,7,1,2
157,5,2,4,3,4,3,0
158,2,3,5,7,8,5,6
159,3,8,4,6,5,8,1
160,5,4,4,0,2,8,6
161,3,0,5,5,8,3,8
162,2,8,0,2,4,9,3
163,1,7,1,1,0,6,7
164,1,9,7,2,3,4,9
165,1,7,1,8,2,7,3
166,4,3,4,2,1,0,3
167,3,4,7,5,0,1,6
168,2,9,7,0,7,3,1
169,3,9,2,4,7,4,8
170,2,9,6,5,1,7,8
171,2,8,4,4,5,7,8
172,1,0,9,2,1,3,8
173,3,8,0,3,7,5,7
174,2,8,7,6,0,2,1
175,5,7,6,5,7,4,0
176,3,8,5,8,9,5,2
177,3,1,0,5,9,4,8
178,3,0,0,4,6,8,7
179,2,9,4,7,1,7,6
180,3,8,3,6,8,3,8
181,3,5,5,0,1,0,4
182,1,9,9,3,7,5,0
183,4,3,2,1,4,2,3
184,3,6,4,6,3,6,2
185,4,5,7,7,4,1,8
186,5,6,1,6,8,1,4
187,5,2,0,0,4,7,3
188,5,5,0,2,5,2,2
189,4,4,6,6,5,5,7
190,2,8,5,0,3,6,5
191,4,2,9,6,4,3,0
